jeux;date;affluence;compteur_date
Olympiques;2024-07-24T00:00:00Z;0;1
Olympiques;2024-07-24T01:00:00Z;0;2
Olympiques;2024-07-24T02:00:00Z;0;3
Olympiques;2024-07-24T03:00:00Z;0;4
Olympiques;2024-07-24T04:00:00Z;0;5
Olympiques;2024-07-24T05:00:00Z;0;6
Olympiques;2024-07-24T06:00:00Z;0;7
Olympiques;2024-07-24T07:00:00Z;0;8
Olympiques;2024-07-24T08:00:00Z;0;9
Olympiques;2024-07-24T09:00:00Z;0;10
Olympiques;2024-07-24T10:00:00Z;0;11
Olympiques;2024-07-24T11:00:00Z;0;12
Olympiques;2024-07-24T12:00:00Z;0;13
Olympiques;2024-07-24T13:00:00Z;0;14
Olympiques;2024-07-24T14:00:00Z;0;15
Olympiques;2024-07-24T15:00:00Z;89891;16
Olympiques;2024-07-24T16:00:00Z;166974;17
Olympiques;2024-07-24T17:00:00Z;240625;18
Olympiques;2024-07-24T18:00:00Z;150734;19
Olympiques;2024-07-24T19:00:00Z;251920;20
Olympiques;2024-07-24T20:00:00Z;178269;21
Olympiques;2024-07-24T21:00:00Z;293589;22
Olympiques;2024-07-24T22:00:00Z;192403;23
Olympiques;2024-07-24T23:00:00Z;115320;24
Olympiques;2024-07-25T00:00:00Z;0;25
Olympiques;2024-07-25T01:00:00Z;0;26
Olympiques;2024-07-25T02:00:00Z;0;27
Olympiques;2024-07-25T03:00:00Z;0;28
Olympiques;2024-07-25T04:00:00Z;0;29
Olympiques;2024-07-25T05:00:00Z;0;30
Olympiques;2024-07-25T06:00:00Z;0;31
Olympiques;2024-07-25T07:00:00Z;0;32
Olympiques;2024-07-25T08:00:00Z;0;33
Olympiques;2024-07-25T09:00:00Z;12000;34
Olympiques;2024-07-25T10:00:00Z;20000;35
Olympiques;2024-07-25T11:00:00Z;20000;36
Olympiques;2024-07-25T12:00:00Z;20000;37
Olympiques;2024-07-25T13:00:00Z;0;38
Olympiques;2024-07-25T14:00:00Z;89083;39
Olympiques;2024-07-25T15:00:00Z;97083;40
Olympiques;2024-07-25T16:00:00Z;97083;41
Olympiques;2024-07-25T17:00:00Z;176521;42
Olympiques;2024-07-25T18:00:00Z;79438;43
Olympiques;2024-07-25T19:00:00Z;200832;44
Olympiques;2024-07-25T20:00:00Z;198477;45
Olympiques;2024-07-25T21:00:00Z;293841;46
Olympiques;2024-07-25T22:00:00Z;184447;47
Olympiques;2024-07-25T23:00:00Z;172447;48
Olympiques;2024-07-26T00:00:00Z;0;49
Olympiques;2024-07-26T01:00:00Z;0;50
Olympiques;2024-07-26T02:00:00Z;0;51
Olympiques;2024-07-26T03:00:00Z;0;52
Olympiques;2024-07-26T04:00:00Z;0;53
Olympiques;2024-07-26T05:00:00Z;0;54
Olympiques;2024-07-26T06:00:00Z;0;55
Olympiques;2024-07-26T07:00:00Z;0;56
Olympiques;2024-07-26T08:00:00Z;0;57
Olympiques;2024-07-26T09:00:00Z;0;58
Olympiques;2024-07-26T10:00:00Z;0;59
Olympiques;2024-07-26T11:00:00Z;0;60
Olympiques;2024-07-26T12:00:00Z;0;61
Olympiques;2024-07-26T13:00:00Z;0;62
Olympiques;2024-07-26T14:00:00Z;0;63
Olympiques;2024-07-26T15:00:00Z;0;64
Olympiques;2024-07-26T16:00:00Z;0;65
Olympiques;2024-07-26T17:00:00Z;0;66
Olympiques;2024-07-26T18:00:00Z;0;67
Olympiques;2024-07-26T19:00:00Z;0;68
Olympiques;2024-07-26T20:00:00Z;326000;69
Olympiques;2024-07-26T21:00:00Z;326000;70
Olympiques;2024-07-26T22:00:00Z;326000;71
Olympiques;2024-07-26T23:00:00Z;326000;72
Olympiques;2024-07-27T00:00:00Z;0;73
Olympiques;2024-07-27T01:00:00Z;0;74
Olympiques;2024-07-27T02:00:00Z;0;75
Olympiques;2024-07-27T03:00:00Z;0;76
Olympiques;2024-07-27T04:00:00Z;0;77
Olympiques;2024-07-27T05:00:00Z;0;78
Olympiques;2024-07-27T06:00:00Z;0;79
Olympiques;2024-07-27T07:00:00Z;600;80
Olympiques;2024-07-27T08:00:00Z;600;81
Olympiques;2024-07-27T09:00:00Z;58950;82
Olympiques;2024-07-27T10:00:00Z;104556;83
Olympiques;2024-07-27T11:00:00Z;187056;84
Olympiques;2024-07-27T12:00:00Z;268404;85
Olympiques;2024-07-27T13:00:00Z;256554;86
Olympiques;2024-07-27T14:00:00Z;233764;87
Olympiques;2024-07-27T15:00:00Z;436677;88
Olympiques;2024-07-27T16:00:00Z;360033;89
Olympiques;2024-07-27T17:00:00Z;482761;90
Olympiques;2024-07-27T18:00:00Z;391623;91
Olympiques;2024-07-27T19:00:00Z;495155;92
Olympiques;2024-07-27T20:00:00Z;314325;93
Olympiques;2024-07-27T21:00:00Z;358560;94
Olympiques;2024-07-27T22:00:00Z;238240;95
Olympiques;2024-07-27T23:00:00Z;123990;96
Olympiques;2024-07-28T00:00:00Z;0;97
Olympiques;2024-07-28T01:00:00Z;0;98
Olympiques;2024-07-28T02:00:00Z;0;99
Olympiques;2024-07-28T03:00:00Z;0;100
Olympiques;2024-07-28T04:00:00Z;0;101
Olympiques;2024-07-28T05:00:00Z;0;102
Olympiques;2024-07-28T06:00:00Z;0;103
Olympiques;2024-07-28T07:00:00Z;600;104
Olympiques;2024-07-28T08:00:00Z;600;105
Olympiques;2024-07-28T09:00:00Z;68310;106
Olympiques;2024-07-28T10:00:00Z;140916;107
Olympiques;2024-07-28T11:00:00Z;238178;108
Olympiques;2024-07-28T12:00:00Z;315026;109
Olympiques;2024-07-28T13:00:00Z;304676;110
Olympiques;2024-07-28T14:00:00Z;255166;111
Olympiques;2024-07-28T15:00:00Z;275670;112
Olympiques;2024-07-28T16:00:00Z;270109;113
Olympiques;2024-07-28T17:00:00Z;403371;114
Olympiques;2024-07-28T18:00:00Z;412559;115
